,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
0,,exp,coexpression,0,,FASN,SERPINA1,xxxxxx,xxxxxx
1,,exp,coexpression,0,,C7,LAMB1,xxxxxx,xxxxxx
2,,exp,coexpression,0,,CTSS,MRC1,xxxxxx,xxxxxx
3,,exp,coexpression,0,,GK,GK,xxxxxx,xxxxxx
4,,exp,coexpression,0,,EDNRB,SOX9,xxxxxx,xxxxxx
5,,exp,coexpression,0,,CD248,MMP2,xxxxxx,xxxxxx
6,,exp,coexpression,0,,GPAT3,NIBAN1,xxxxxx,xxxxxx
7,,exp,coexpression,0,,ADH1B,MAOA,xxxxxx,xxxxxx
8,,exp,coexpression,0,,ABCA8,CXCL12,xxxxxx,xxxxxx
9,,exp,coexpression,0,,OAS2,TNFSF10,xxxxxx,xxxxxx
10,,exp,coexpression,0,,ESRP2,TACSTD2,xxxxxx,xxxxxx
11,,exp,coexpression,0,,CD69,ISG15,xxxxxx,xxxxxx
12,,exp,coexpression,0,,CDKN1A,TM4SF1,xxxxxx,xxxxxx
13,,exp,coexpression,0,,KLF2,PLK2,xxxxxx,xxxxxx
14,,exp,coexpression,0,,EFNA1,IER3,xxxxxx,xxxxxx
15,,exp,coexpression,0,,BOC,C1R,xxxxxx,xxxxxx
16,,exp,coexpression,0,,GPRC5A,MGST1,xxxxxx,xxxxxx
17,,exp,coexpression,0,,IRAG1,MEGF6,xxxxxx,xxxxxx
18,,exp,coexpression,0,,COL1A1,ELN,xxxxxx,xxxxxx
19,,exp,coexpression,0,,CREB3L1,MLPH,xxxxxx,xxxxxx
20,,exp,coexpression,0,,MFAP4,PLAT,xxxxxx,xxxxxx
21,,exp,coexpression,0,,CD74,HLA.DQB1,xxxxxx,xxxxxx
22,,exp,coexpression,0,,AEBP1,ANGPTL2,xxxxxx,xxxxxx
23,,exp,coexpression,0,,HJV,HJV,xxxxxx,xxxxxx
24,,exp,coexpression,0,,BASP1,CYP1B1,xxxxxx,xxxxxx
25,,exp,coexpression,0,,ADH1B,APCDD1,xxxxxx,xxxxxx
26,,exp,coexpression,0,,TLR5,UPP1,xxxxxx,xxxxxx
27,,exp,coexpression,0,,FKBP5,IGFBP3,xxxxxx,xxxxxx
28,,exp,coexpression,0,,COL12A1,CRYAB,xxxxxx,xxxxxx
29,,exp,coexpression,0,,PRLR,TENM1,xxxxxx,xxxxxx
30,,exp,coexpression,0,,HMCN1,HMCN1,xxxxxx,xxxxxx
31,,exp,coexpression,0,,ACTG2,MYOM1,xxxxxx,xxxxxx
32,,exp,coexpression,0,,AASS,CYP1B1,xxxxxx,xxxxxx
33,,exp,coexpression,0,,APOE,MT.CO1,xxxxxx,xxxxxx
34,,exp,coexpression,0,,GABRE,GLUL,xxxxxx,xxxxxx
35,,exp,coexpression,0,,PI16,TNC,xxxxxx,xxxxxx
36,,exp,coexpression,0,,FKBP5,MT1X,xxxxxx,xxxxxx
37,,exp,coexpression,0,,CCDC71L,ZFP36,xxxxxx,xxxxxx
38,,exp,coexpression,0,,ADAM19,ATP8B4,xxxxxx,xxxxxx
39,,exp,coexpression,0,,CEBPD,SLC16A3,xxxxxx,xxxxxx
40,,exp,coexpression,0,,CSRP1,NKD1,xxxxxx,xxxxxx
41,,exp,coexpression,0,,CDH5,GGT5,xxxxxx,xxxxxx
42,,exp,coexpression,0,,MYH11,RNF152,xxxxxx,xxxxxx
43,,exp,coexpression,0,,B3GNT8,KCNJ15,xxxxxx,xxxxxx
44,,exp,coexpression,0,,BAG3,HSPE1,xxxxxx,xxxxxx
45,,exp,coexpression,0,,ECM2,OLFML3,xxxxxx,xxxxxx
46,,exp,coexpression,0,,HMGB3,IL32,xxxxxx,xxxxxx
47,,exp,coexpression,0,,FRZB,XAF1,xxxxxx,xxxxxx
48,,exp,coexpression,0,,NPTX2,SERPINF2,xxxxxx,xxxxxx
49,,exp,coexpression,0,,FAXDC2,LCN2,xxxxxx,xxxxxx
