"genes"	"modules"
"1"	"MT.CO1"	"M1"
"2"	"HP"	"M5"
"3"	"MT.ATP6"	"M1"
"4"	"SERPINA1"	"M1"
"5"	"FGA"	"M5"
"6"	"MT.CYB"	"M1"
"7"	"MT.CO2"	"M1"
"8"	"MT.CO3"	"M1"
"9"	"MT.ND2"	"M1"
"10"	"FGG"	"M5"
"11"	"FGB"	"M5"
"12"	"MT.ND1"	"M1"
"13"	"ORM1"	"M5"
"14"	"MT.ND5"	"M1"
"15"	"MT.ATP8"	"M1"
"16"	"APOA1"	"M1"
"17"	"MT.ND4L"	"M5"
"18"	"MT.ND3"	"M5"
"19"	"TF"	"M1"
"20"	"SERPINA3"	"M5"
"21"	"ALDOB"	"M1"
"22"	"APOC3"	"M1"
"23"	"X.252"	"M5"
"24"	"CRP"	"M5"
"25"	"CYP2E1"	"M1"
"26"	"SAA1"	"M5"
"27"	"ADH1B"	"M1"
"28"	"SAA2.SAA4"	"M5"
"29"	"MT.ND6"	"M1"
"30"	"FGL1"	"M5"
"31"	"SAA2"	"M5"
"32"	"GC"	"M1"
"33"	"AGXT"	"M1"
"34"	"CCDC152"	"M1"
"35"	"A2M"	"M1"
"36"	"HPR"	"M5"
"37"	"MAT1A"	"M1"
"38"	"ATF5"	"Not.Correlated"
"39"	"TTR"	"M1"
"40"	"PCK1"	"M6"
"41"	"TAT"	"M1"
"42"	"MT2A"	"M1"
"43"	"AHSG"	"M1"
"44"	"HMGCS2"	"M1"
"45"	"AOX1"	"M1"
"46"	"HSP90B1"	"M1"
"47"	"ECHDC2"	"M1"
"48"	"PAH"	"M1"
"49"	"GATM"	"M1"
"50"	"FABP1"	"M1"
"51"	"HRG"	"M1"
"52"	"LRG1"	"M5"
"53"	"C9"	"M5"
"54"	"MLXIPL"	"M1"
"55"	"LBP"	"M5"
"56"	"NNMT"	"M5"
"57"	"CYP2C9"	"M1"
"58"	"CYP2C8"	"M1"
"59"	"C4BPA"	"M5"
"60"	"TGM2"	"M1"
"61"	"ACTG1"	"M1"
"62"	"ACSM2B"	"M1"
"63"	"ADH4"	"M1"
"64"	"ERRFI1"	"M1"
"65"	"LDHA"	"M1"
"66"	"GPX3"	"M1"
"67"	"CALR"	"M1"
"68"	"HSP90AA1"	"M6"
"69"	"CREB3L3"	"M5"
"70"	"EPHX1"	"M1"
"71"	"SCD"	"M1"
"72"	"HSPA5"	"M1"
"73"	"SDS"	"M6"
"74"	"ACSM2A"	"M1"
"75"	"C6"	"M1"
"76"	"CYP3A5"	"M1"
"77"	"F12"	"M1"
"78"	"CFHR1"	"M1"
"79"	"BAAT"	"M1"
"80"	"INSIG1"	"M1"
"81"	"MT1G"	"M1"
"82"	"MT1X"	"M1"
"83"	"FASN"	"M1"
"84"	"NAMPT"	"M1"
"85"	"HSPA1A"	"M6"
"86"	"DCXR"	"M1"
"87"	"ALDH1A1"	"M1"
"88"	"FTCD"	"M1"
"89"	"CYP3A4"	"M1"
"90"	"ENO1"	"M1"
"91"	"CYP4A11"	"M1"
"92"	"SULT2A1"	"M1"
"93"	"SLC27A5"	"M1"
"94"	"SLC22A1"	"M1"
"95"	"DUSP1"	"M6"
"96"	"HSPA1B"	"M6"
"97"	"TDO2"	"M1"
"98"	"HSD17B6"	"M1"
"99"	"RDH16"	"M1"
"100"	"ACADSB"	"M1"
"101"	"BGN"	"M2"
"102"	"CYP27A1"	"M1"
"103"	"UGT2B4"	"M1"
"104"	"PLIN2"	"Not.Correlated"
"105"	"ANG"	"M1"
"106"	"AFM"	"M1"
"107"	"ADH1C"	"M1"
"108"	"METTL7A"	"M1"
"109"	"CYP2A6"	"M1"
"110"	"SLC38A4"	"M1"
"111"	"ADH1A"	"M1"
"112"	"CAT"	"M1"
"113"	"IGFBP3"	"M2"
"114"	"SREBF1"	"M1"
"115"	"BHMT"	"M1"
"116"	"G6PC1"	"Not.Correlated"
"117"	"ALDH1L1"	"M1"
"118"	"SLC25A47"	"M1"
"119"	"HGFAC"	"M1"
"120"	"PPP2R1B"	"M5"
"121"	"AKR1C1"	"M1"
"122"	"CYP2D6"	"M1"
"123"	"HAMP"	"M5"
"124"	"APOA5"	"M1"
"125"	"SLC22A7"	"M1"
"126"	"EFNA1"	"M4"
"127"	"PRG4"	"M2"
"128"	"CFHR3"	"M1"
"129"	"ETS2"	"M4"
"130"	"HAL"	"M6"
"131"	"SLCO2B1"	"M1"
"132"	"FMO3"	"M1"
"133"	"PDIA4"	"M1"
"134"	"MSMO1"	"M1"
"135"	"SLC2A2"	"M1"
"136"	"KRT18"	"M1"
"137"	"SELENBP1"	"M1"
"138"	"IGFBP1"	"M6"
"139"	"ZC3H13"	"Not.Correlated"
"140"	"SDC4"	"M4"
"141"	"SERPIND1"	"M1"
"142"	"AKR1C2"	"M1"
"143"	"PDIA6"	"M1"
"144"	"EHHADH"	"M1"
"145"	"GPAM"	"M1"
"146"	"DCN"	"M2"
"147"	"PCK2"	"M1"
"148"	"DPYS"	"M1"
"149"	"PIPOX"	"M1"
"150"	"ABCC2"	"M1"
"151"	"BHLHE40"	"M6"
"152"	"GLYCTK"	"M1"
"153"	"SLC38A3"	"M1"
"154"	"MT1E"	"M1"
"155"	"PON1"	"M1"
"156"	"GALNT2"	"M1"
"157"	"HAO1"	"M1"
"158"	"SORD"	"M1"
"159"	"HBB"	"Not.Correlated"
"160"	"GJB1"	"M1"
"161"	"CXCL2"	"M1"
"162"	"SPRYD4"	"M1"
"163"	"ZFP36"	"M4"
"164"	"C7"	"M2"
"165"	"ALDH8A1"	"M1"
"166"	"GADD45B"	"M4"
"167"	"HYOU1"	"M1"
"168"	"HSPB1"	"M6"
"169"	"JUN"	"M6"
"170"	"HMGCS1"	"Not.Correlated"
"171"	"GSTA1"	"M1"
"172"	"GLYATL1"	"M1"
"173"	"TXNIP"	"M2"
"174"	"X.247"	"M1"
"175"	"ADH6"	"M1"
"176"	"IL32"	"M1"
"177"	"BDH1"	"M1"
"178"	"GPX2"	"M5"
"179"	"IGFBP7"	"M2"
"180"	"CEBPA"	"M1"
"181"	"CD74"	"M2"
"182"	"FLNA"	"M2"
"183"	"SERPINA5"	"M1"
"184"	"X.91"	"M1"
"185"	"MAOB"	"M1"
"186"	"BCL3"	"M5"
"187"	"F11"	"M1"
"188"	"C2orf72"	"M1"
"189"	"PNRC1"	"M4"
"190"	"MFSD2A"	"M1"
"191"	"GPT"	"M1"
"192"	"DGAT2"	"M1"
"193"	"SLC5A6"	"M5"
"194"	"ATP1A1"	"M1"
"195"	"CYP2B6"	"M1"
"196"	"JUNB"	"M4"
"197"	"IGFBP2"	"Not.Correlated"
"198"	"AADAC"	"M1"
"199"	"PBLD"	"M1"
"200"	"ABI2"	"M1"
"201"	"ACSM5"	"M1"
"202"	"GCGR"	"M1"
"203"	"DNAJB1"	"M6"
"204"	"UPB1"	"M1"
"205"	"COL6A2"	"M2"
"206"	"UGT2B7"	"M1"
"207"	"EPHX2"	"M1"
"208"	"CEBPD"	"M4"
"209"	"VMP1"	"M4"
"210"	"ALDOA"	"M1"
"211"	"SPARC"	"M2"
"212"	"ADGRA3"	"M1"
"213"	"SERPINA11"	"M1"
"214"	"PLA2G2A"	"M5"
"215"	"PGGHG"	"Not.Correlated"
"216"	"PHYH"	"M1"
"217"	"ABCC6"	"M1"
"218"	"LEAP2"	"M1"
"219"	"APOF"	"M1"
"220"	"TCIM"	"M6"
"221"	"CHI3L1"	"M1"
"222"	"CYP4F2"	"M1"
"223"	"SEC14L2"	"M1"
"224"	"SLC27A2"	"M2"
"225"	"F7"	"M1"
"226"	"QPRT"	"M1"
"227"	"PPP1R3C"	"M1"
"228"	"XAF1"	"Not.Correlated"
"229"	"STAB1"	"M3"
"230"	"PPP1R3B"	"M1"
"231"	"DHTKD1"	"M1"
"232"	"RAPH1"	"M1"
"233"	"CYP4A22"	"M1"
"234"	"MSN"	"M1"
"235"	"TAGLN2"	"M1"
"236"	"SLC25A25"	"M6"
"237"	"DDIT4"	"M6"
"238"	"DMGDH"	"M1"
"239"	"TSKU"	"M1"
"240"	"MBL2"	"M1"
"241"	"ACOX2"	"M1"
"242"	"SERPINA4"	"M1"
"243"	"PDK4"	"M1"
"244"	"JUND"	"M6"
"245"	"SERPINE1"	"M4"
"246"	"ALAS1"	"M1"
"247"	"DDTL"	"M1"
"248"	"LCAT"	"M1"
"249"	"ALAD"	"M1"
"250"	"CYP2D7"	"M1"
"251"	"GRAMD4"	"M1"
"252"	"ANXA5"	"M1"
"253"	"SLC35C1"	"M1"
"254"	"LSS"	"M1"
"255"	"CCN1"	"M2"
"256"	"AKR1C4"	"M1"
"257"	"HBA2"	"Not.Correlated"
"258"	"TUBA1B"	"M1"
"259"	"G0S2"	"M1"
"260"	"TMPRSS6"	"M1"
"261"	"HAAO"	"M1"
"262"	"OGDHL"	"M1"
"263"	"DDT"	"M1"
"264"	"SYT7"	"M1"
"265"	"GHR"	"M1"
"266"	"MTTP"	"M1"
"267"	"CTSL"	"M1"
"268"	"INHBE"	"Not.Correlated"
"269"	"LEPR"	"Not.Correlated"
"270"	"TOB1"	"M1"
"271"	"ETNK2"	"M1"
"272"	"DLEC1"	"M1"
"273"	"HPGD"	"M1"
"274"	"SLC25A10"	"M1"
"275"	"ANGPTL4"	"M1"
"276"	"HAO2"	"M1"
"277"	"FMO5"	"M1"
"278"	"SYNE2"	"M5"
"279"	"UGT2B10"	"M1"
"280"	"TKFC"	"M1"
"281"	"CXCL12"	"M2"
"282"	"VIM"	"M2"
"283"	"TAGLN"	"M2"
"284"	"GLS2"	"M1"
"285"	"KLKB1"	"M1"
"286"	"COBLL1"	"M1"
"287"	"SGK1"	"M4"
"288"	"UGT2B15"	"M1"
"289"	"NR1I3"	"M1"
"290"	"SLC39A5"	"M1"
"291"	"RGN"	"M1"
"292"	"LIME1"	"M1"
"293"	"SERPINA7"	"M1"
"294"	"FOS"	"M6"
"295"	"THBS1"	"M4"
"296"	"SLC2A4RG"	"M1"
"297"	"PRODH2"	"M1"
"298"	"APOC4"	"M1"
"299"	"SULT1A1"	"M1"
"300"	"ABCG5"	"M1"
"301"	"TNFSF14"	"M5"
"302"	"AR"	"M1"
"303"	"CHRNA4"	"M1"
"304"	"SLC25A18"	"M1"
"305"	"KLF6"	"M6"
"306"	"APOM"	"M1"
"307"	"SLCO1B1"	"M1"
"308"	"HSD17B13"	"M1"
"309"	"SARDH"	"M1"
"310"	"COL3A1"	"M2"
"311"	"NDRG1"	"M1"
"312"	"AMDHD1"	"M1"
"313"	"HTRA1"	"M5"
"314"	"FKBP5"	"Not.Correlated"
"315"	"ARRDC3"	"M5"
"316"	"RPRD1B"	"M1"
"317"	"PRDX4"	"M5"
"318"	"GPD1"	"M1"
"319"	"LPA"	"M1"
"320"	"CDKN1A"	"M4"
"321"	"XDH"	"M1"
"322"	"GYS2"	"M1"
"323"	"ALDH5A1"	"M1"
"324"	"ZGPAT"	"M1"
"325"	"CAPN12"	"M1"
"326"	"NR1I2"	"M1"
"327"	"TNFAIP2"	"M1"
"328"	"ACSS2"	"M1"
"329"	"TYMP"	"M1"
"330"	"SLCO1B3"	"M1"
"331"	"IDI1"	"M1"
"332"	"TIMP1"	"M1"
"333"	"GADD45G"	"M6"
"334"	"CCND1"	"Not.Correlated"
"335"	"RASD1"	"M4"
"336"	"CITED2"	"M6"
"337"	"ABCA6"	"M1"
"338"	"CFHR5"	"M1"
"339"	"CMBL"	"M1"
"340"	"RBP5"	"M1"
"341"	"PCYOX1"	"M1"
"342"	"HBA1"	"Not.Correlated"
"343"	"DNAJB11"	"M1"
"344"	"MOGAT2"	"M1"
"345"	"GALT"	"M1"
"346"	"RORC"	"M1"
"347"	"EGR1"	"M6"
"348"	"GLYAT"	"M1"
"349"	"TSC22D3"	"M1"
"350"	"CAPN5"	"M1"
"351"	"ELF3"	"M4"
"352"	"SLC47A1"	"M1"
"353"	"PEMT"	"M1"
"354"	"OSGIN1"	"M1"
"355"	"SLC28A1"	"M1"
"356"	"TRIB1"	"M6"
"357"	"PLOD2"	"M1"
"358"	"DEPP1"	"M4"
"359"	"HJV"	"M1"
"360"	"PGLYRP2"	"M1"
"361"	"ACTA2"	"M2"
"362"	"AGXT2"	"M1"
"363"	"SLC25A42"	"M1"
"364"	"ALDH7A1"	"M1"
"365"	"LDLR"	"M4"
"366"	"CTH"	"M6"
"367"	"TCEA3"	"M1"
"368"	"IL1RN"	"M4"
"369"	"NPIPB13"	"M5"
"370"	"HNMT"	"M1"
"371"	"IGFBP5"	"M2"
"372"	"EXOC3L4"	"M1"
