"genes"	"modules"
"1"	"MBP"	"M5"
"2"	"GFAP"	"M2"
"3"	"MT.ND6"	"Not.Correlated"
"4"	"CALM1"	"M2"
"5"	"PLP1"	"M5"
"6"	"MTURN"	"M5"
"7"	"GLUL"	"M3"
"8"	"SNAP25"	"M2"
"9"	"KIF5A"	"M1"
"10"	"SPARCL1"	"M3"
"11"	"IDS"	"M1"
"12"	"SLC1A2"	"M3"
"13"	"FTL"	"M3"
"14"	"ATP1A2"	"M3"
"15"	"TUBB4A"	"M4"
"16"	"SCD"	"M5"
"17"	"CST3"	"M3"
"18"	"PLEKHB1"	"M5"
"19"	"APOE"	"M3"
"20"	"SLC1A3"	"M3"
"21"	"NCDN"	"M6"
"22"	"SPARC"	"M2"
"23"	"CPLX2"	"M2"
"24"	"FBXL16"	"M6"
"25"	"NTRK2"	"M3"
"26"	"HIPK2"	"M5"
"27"	"PKD1"	"M4"
"28"	"MAP2"	"M6"
"29"	"ATP1A1"	"M3"
"30"	"QKI"	"M3"
"31"	"ITM2C"	"M3"
"32"	"ENO2"	"M3"
"33"	"CRYAB"	"M5"
"34"	"MOBP"	"M5"
"35"	"BCAS1"	"M5"
"36"	"CSRP1"	"M3"
"37"	"STXBP1"	"M2"
"38"	"NCS1"	"M1"
"39"	"RTN1"	"M2"
"40"	"CNP"	"M5"
"41"	"SEPTIN5"	"M6"
"42"	"B2M"	"M7"
"43"	"MAP4K4"	"M5"
"44"	"S100B"	"M5"
"45"	"UCHL1"	"M1"
"46"	"AQP4"	"M3"
"47"	"DNM1"	"M2"
"48"	"HSPA1A"	"Not.Correlated"
"49"	"HSPA1B"	"Not.Correlated"
"50"	"PMP2"	"M3"
"51"	"CAMK2B"	"M2"
"52"	"EEF1A2"	"M2"
"53"	"PAQR6"	"M5"
"54"	"ABLIM1"	"M1"
"55"	"GLUD1"	"M3"
"56"	"TP53INP2"	"M5"
"57"	"ACAP3"	"M4"
"58"	"CLDND1"	"M5"
"59"	"NSMF"	"M1"
