,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
0,,exp,coexpression,0,,C1QC,CD14,xxxxxx,xxxxxx
1,,exp,coexpression,0,,TMEM176B,TMEM176B,xxxxxx,xxxxxx
2,,exp,coexpression,0,,SOCS3,ZFP36,xxxxxx,xxxxxx
3,,exp,coexpression,0,,IGFBP3,IGFBP3,xxxxxx,xxxxxx
4,,exp,coexpression,0,,FGL2,FGL2,xxxxxx,xxxxxx
5,,exp,coexpression,0,,RASD1,RASD1,xxxxxx,xxxxxx
6,,exp,coexpression,0,,TLR2,TLR2,xxxxxx,xxxxxx
7,,exp,coexpression,0,,MT2A,MT2A,xxxxxx,xxxxxx
8,,exp,coexpression,0,,COL1A2,ISLR,xxxxxx,xxxxxx
9,,exp,coexpression,0,,FN1,FN1,xxxxxx,xxxxxx
10,,exp,coexpression,0,,CCDC80,COL14A1,xxxxxx,xxxxxx
11,,exp,coexpression,0,,C11orf96,CDKN1A,xxxxxx,xxxxxx
12,,exp,coexpression,0,,GALNT17,GALNT17,xxxxxx,xxxxxx
13,,exp,coexpression,0,,OSMR,OSMR,xxxxxx,xxxxxx
14,,exp,coexpression,0,,C1QC,F13A1,xxxxxx,xxxxxx
15,,exp,coexpression,0,,COL3A1,MRC2,xxxxxx,xxxxxx
16,,exp,coexpression,0,,CCDC80,LUM,xxxxxx,xxxxxx
17,,exp,coexpression,0,,NAMPT,NAMPT,xxxxxx,xxxxxx
18,,exp,coexpression,0,,CD68,MS4A6A,xxxxxx,xxxxxx
19,,exp,coexpression,0,,CHI3L1,CHI3L1,xxxxxx,xxxxxx
20,,exp,coexpression,0,,SDC4,SDC4,xxxxxx,xxxxxx
21,,exp,coexpression,0,,C1QC,FCGR3A,xxxxxx,xxxxxx
22,,exp,coexpression,0,,COL1A2,COL1A2,xxxxxx,xxxxxx
23,,exp,coexpression,0,,C1QB,C1QB,xxxxxx,xxxxxx
24,,exp,coexpression,0,,AKR1C1,AKR1C1,xxxxxx,xxxxxx
25,,exp,coexpression,0,,CSF1R,FCGR2A,xxxxxx,xxxxxx
26,,exp,coexpression,0,,CDKN1A,SOCS3,xxxxxx,xxxxxx
27,,exp,coexpression,0,,C1QB,FCGR3A,xxxxxx,xxxxxx
28,,exp,coexpression,0,,CLDN5,CLDN5,xxxxxx,xxxxxx
29,,exp,coexpression,0,,GSTM1,GSTM1,xxxxxx,xxxxxx
30,,exp,coexpression,0,,KCNMA1,KCNMA1,xxxxxx,xxxxxx
31,,exp,coexpression,0,,TNXB,TNXB,xxxxxx,xxxxxx
32,,exp,coexpression,0,,C1QA,C1QB,xxxxxx,xxxxxx
33,,exp,coexpression,0,,COL14A1,COL14A1,xxxxxx,xxxxxx
34,,exp,coexpression,0,,C1QC,C1QC,xxxxxx,xxxxxx
35,,exp,coexpression,0,,EMP1,EMP1,xxxxxx,xxxxxx
36,,exp,coexpression,0,,INMT,INMT,xxxxxx,xxxxxx
37,,exp,coexpression,0,,MMP2,MMP2,xxxxxx,xxxxxx
38,,exp,coexpression,0,,PTGIS,PTGIS,xxxxxx,xxxxxx
39,,exp,coexpression,0,,AOX1,AOX1,xxxxxx,xxxxxx
40,,exp,coexpression,0,,SLC2A3,SOCS3,xxxxxx,xxxxxx
41,,exp,coexpression,0,,CDKN1A,MAFF,xxxxxx,xxxxxx
42,,exp,coexpression,0,,MFAP4,MFAP4,xxxxxx,xxxxxx
