"genes"	"modules"
"1"	"MT.CO1"	"M3"
"2"	"MT.ND5"	"M3"
"3"	"TXNIP"	"M6"
"4"	"MT.ATP8"	"M3"
"5"	"HBB"	"M7"
"6"	"MT.ND6"	"M3"
"7"	"MT.ND4L"	"M3"
"8"	"CTSB"	"M3"
"9"	"S100A9"	"M2"
"10"	"GLUL"	"M3"
"11"	"A2M"	"M4"
"12"	"HBA2"	"M7"
"13"	"HSP90B1"	"M9"
"14"	"SELENOP"	"M3"
"15"	"C1QB"	"M3"
"16"	"CD163"	"M3"
"17"	"CCDC152"	"M3"
"18"	"MS4A1"	"M5"
"19"	"HBA1"	"M7"
"20"	"IGLL5"	"M9"
"21"	"S100A8"	"M2"
"22"	"C1QC"	"M3"
"23"	"JCHAIN"	"M9"
"24"	"CSF3R"	"M2"
"25"	"HMOX1"	"M3"
"26"	"C1QA"	"M3"
"27"	"BLOC1S5.TXNDC5"	"M9"
"28"	"TIMP3"	"M1"
"29"	"CD5L"	"M3"
"30"	"COL4A2"	"M4"
"31"	"CD36"	"M8"
"32"	"BGN"	"M4"
"33"	"SLC40A1"	"M3"
"34"	"VCAM1"	"M3"
"35"	"HSP90AA1"	"M8"
"36"	"TXNDC5"	"M9"
"37"	"SRGN"	"M2"
"38"	"CTSS"	"M3"
"39"	"APOE"	"M3"
"40"	"GPX3"	"M1"
"41"	"PDE2A"	"M1"
"42"	"TSC22D3"	"M6"
"43"	"CSF1R"	"M3"
"44"	"CALD1"	"M1"
"45"	"IGFBP7"	"M4"
"46"	"C1R"	"M4"
"47"	"IGFBP4"	"M1"
"48"	"C7"	"M1"
"49"	"HSPA5"	"M9"
"50"	"COL4A1"	"M4"
"51"	"SMAP2"	"M6"
"52"	"MPEG1"	"M3"
"53"	"TNFAIP2"	"M8"
"54"	"ACTA2"	"M4"
"55"	"STAB2"	"Not.Correlated"
"56"	"CXCR4"	"M6"
"57"	"LIPA"	"M3"
"58"	"FCGR3A"	"M3"
"59"	"AIF1L"	"Not.Correlated"
"60"	"MS4A7"	"M3"
"61"	"CCL14"	"M1"
"62"	"PDK4"	"M6"
"63"	"BCL6"	"M2"
"64"	"CCN2"	"M1"
"65"	"X.189"	"M3"
"66"	"VSIR"	"M3"
"67"	"CTSC"	"M3"
"68"	"VWF"	"M1"
"69"	"SELL"	"M2"
"70"	"ITGAX"	"M2"
"71"	"DUSP1"	"M6"
"72"	"CXCL13"	"M1"
"73"	"SLC11A1"	"M2"
"74"	"CCL15.CCL14"	"M1"
"75"	"CD22"	"M5"
"76"	"NAMPT"	"M2"
"77"	"LYZ"	"M2"
"78"	"SERPING1"	"M1"
"79"	"SLC25A37"	"M2"
"80"	"LAMB1"	"M1"
"81"	"XBP1"	"M9"
"82"	"ZFP36L2"	"M6"
"83"	"SERPINA1"	"M2"
"84"	"FKBP5"	"M6"
"85"	"HLA.DRB5"	"Not.Correlated"
"86"	"COL1A2"	"M4"
"87"	"TAGLN"	"M4"
"88"	"HLA.DQB1"	"M5"
"89"	"IFI30"	"M3"
"90"	"ACSL1"	"M2"
"91"	"CD68"	"M3"
"92"	"CXCL12"	"M3"
"93"	"DHCR24"	"M1"
"94"	"PITPNM3"	"M1"
"95"	"PDGFRA"	"M1"
"96"	"THBS1"	"M6"
"97"	"UCP2"	"M3"
"98"	"COL3A1"	"M4"
"99"	"LYVE1"	"M1"
"100"	"CPLX3"	"Not.Correlated"
"101"	"MYH11"	"M1"
"102"	"MS4A6A"	"M3"
"103"	"PLVAP"	"M1"
"104"	"SDC3"	"M3"
"105"	"RGS2"	"M2"
"106"	"HK3"	"M2"
"107"	"MYLK"	"M4"
"108"	"STAT1"	"M6"
"109"	"CD79A"	"M5"
"110"	"IRAK3"	"M2"
"111"	"VEGFA"	"M6"
"112"	"HLA.DQA1"	"M5"
"113"	"PARP15"	"M5"
"114"	"IGFBP2"	"M4"
"115"	"LILRB5"	"Not.Correlated"
"116"	"EMILIN1"	"M4"
"117"	"MMP25"	"M2"
"118"	"SPARCL1"	"M1"
"119"	"TYMP"	"M2"
"120"	"FPR1"	"M2"
"121"	"SORL1"	"M2"
"122"	"POU2AF1"	"M9"
"123"	"TPM1"	"M4"
"124"	"FCRL5"	"M9"
"125"	"ADA2"	"M3"
"126"	"FBLN5"	"M1"
"127"	"AEBP1"	"M4"
"128"	"FCMR"	"M5"
"129"	"COL1A1"	"M4"
"130"	"ADH1B"	"M1"
"131"	"JAML"	"M2"
"132"	"PALLD"	"M4"
"133"	"TSPYL2"	"M3"
"134"	"P2RX5"	"M5"
