"genes"	"modules"
"1"	"MT.CO1"	"M1"
"2"	"SFTPB"	"M1"
"3"	"MT.ND5"	"M1"
"4"	"GPX3"	"M4"
"5"	"TIMP3"	"M3"
"6"	"SFTPC"	"M1"
"7"	"THBS1"	"M2"
"8"	"SFTPA2"	"M1"
"9"	"MT.ND6"	"M1"
"10"	"MT.ND4L"	"M10"
"11"	"SFTPA1"	"M1"
"12"	"SAT1"	"M3"
"13"	"COL1A2"	"M6"
"14"	"ADH1B"	"M4"
"15"	"ZFP36"	"M1"
"16"	"DUSP1"	"M1"
"17"	"MGP"	"M1"
"18"	"HSP90AA1"	"M1"
"19"	"C3"	"M6"
"20"	"LUM"	"M6"
"21"	"COL6A3"	"M6"
"22"	"SLC34A2"	"M1"
"23"	"LTBP4"	"M1"
"24"	"FBLN1"	"M3"
"25"	"C7"	"M4"
"26"	"HBB"	"M1"
"27"	"HSPA8"	"M1"
"28"	"ACTA2"	"M1"
"29"	"X.46"	"M9"
"30"	"COL3A1"	"M6"
"31"	"MYH11"	"M1"
"32"	"MFAP4"	"M1"
"33"	"GPRC5A"	"M1"
"34"	"HSPA5"	"M4"
"35"	"AGER"	"M1"
"36"	"NAMPT"	"M7"
"37"	"TSC22D3"	"M1"
"38"	"COL1A1"	"M6"
"39"	"CCN1"	"M1"
"40"	"RHOB"	"M1"
"41"	"SLC11A1"	"M5"
"42"	"NR4A1"	"M1"
"43"	"CD163"	"M9"
"44"	"JUN"	"M1"
"45"	"FHL1"	"M3"
"46"	"DEPP1"	"M1"
"47"	"JUNB"	"M1"
"48"	"TIMP1"	"M7"
"49"	"SERPINA1"	"M1"
"50"	"ELN"	"M4"
"51"	"FCN3"	"M6"
"52"	"PRELP"	"M4"
"53"	"EMP1"	"M2"
"54"	"HSPA1A"	"M1"
"55"	"HBA2"	"M1"
"56"	"HSPA1B"	"M1"
"57"	"KRT7"	"M1"
"58"	"FOS"	"M1"
"59"	"NAPSA"	"M1"
"60"	"ICAM1"	"M2"
"61"	"SOCS3"	"M2"
"62"	"HSPB1"	"M1"
"63"	"FASN"	"M1"
"64"	"MT2A"	"M7"
"65"	"DHCR24"	"M1"
"66"	"MUC1"	"M1"
"67"	"IGFBP5"	"M4"
"68"	"CLDN5"	"M3"
"69"	"PDK4"	"M2"
"70"	"CSF3R"	"M5"
"71"	"VMP1"	"M7"
"72"	"ADAMTS1"	"M3"
"73"	"INMT"	"M2"
"74"	"S100A9"	"M5"
"75"	"FMO2"	"M4"
"76"	"CTSH"	"M1"
"77"	"LYZ"	"M9"
"78"	"CD93"	"M3"
"79"	"NHERF2"	"M2"
"80"	"SERPINE1"	"M2"
"81"	"ABCA3"	"M1"
"82"	"NPC2"	"M1"
"83"	"IFI30"	"M9"
"84"	"HOPX"	"M1"
"85"	"LPCAT1"	"M1"
"86"	"CEACAM6"	"M1"
"87"	"VIPR1"	"M7"
"88"	"SLC2A3"	"M1"
"89"	"CCN2"	"M7"
"90"	"HBA1"	"M1"
"91"	"BHLHE40"	"M2"
"92"	"IL1RL1"	"M6"
"93"	"SLC39A8"	"M1"
"94"	"HLA.DRB5"	"M9"
"95"	"SGK1"	"M1"
"96"	"PTGDS"	"M1"
"97"	"DES"	"M1"
"98"	"TMEM100"	"M2"
"99"	"BTNL9"	"M4"
"100"	"CRISPLD2"	"M7"
"101"	"PPP1R15A"	"M1"
"102"	"DUOX1"	"M1"
"103"	"EGR1"	"M1"
"104"	"ITGAX"	"M5"
"105"	"VCAN"	"M7"
"106"	"LRRC32"	"M2"
"107"	"SAMHD1"	"M2"
"108"	"FKBP5"	"M1"
"109"	"LRRK2"	"M1"
"110"	"C1QB"	"M9"
"111"	"TCIM"	"M1"
"112"	"AKAP12"	"M2"
"113"	"CD68"	"M9"
"114"	"SLC40A1"	"M4"
"115"	"HLA.DQB1"	"M9"
"116"	"SERPINH1"	"M1"
