,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
0,,exp,coexpression,0,,ADH1B,MAOA,xxxxxx,xxxxxx
1,,exp,coexpression,0,,MFAP4,PLAT,xxxxxx,xxxxxx
2,,exp,coexpression,0,,CD74,HLA.DQB1,xxxxxx,xxxxxx
3,,exp,coexpression,0,,HMCN1,HMCN1,xxxxxx,xxxxxx
4,,exp,coexpression,0,,BCL3,SPRY1,xxxxxx,xxxxxx
5,,exp,coexpression,0,,LDLR,PIM1,xxxxxx,xxxxxx
6,,exp,coexpression,0,,ANGPTL4,ANGPTL4,xxxxxx,xxxxxx
7,,exp,coexpression,0,,ADAMTS4,AKAP12,xxxxxx,xxxxxx
8,,exp,coexpression,0,,C1QB,TLR2,xxxxxx,xxxxxx
9,,exp,coexpression,0,,BHLHE40,JUNB,xxxxxx,xxxxxx
10,,exp,coexpression,0,,GADD45B,STC1,xxxxxx,xxxxxx
11,,exp,coexpression,0,,PFKFB3,THBS1,xxxxxx,xxxxxx
12,,exp,coexpression,0,,PLIN5,PTGDS,xxxxxx,xxxxxx
13,,exp,coexpression,0,,C1QB,SLA,xxxxxx,xxxxxx
14,,exp,coexpression,0,,F13A1,FCGR3A,xxxxxx,xxxxxx
15,,exp,coexpression,0,,SERPINE1,TCIM,xxxxxx,xxxxxx
16,,exp,coexpression,0,,C1QC,LCP1,xxxxxx,xxxxxx
17,,exp,coexpression,0,,LCN10,PDK4,xxxxxx,xxxxxx
18,,exp,coexpression,0,,CD163,MRC1,xxxxxx,xxxxxx
19,,exp,coexpression,0,,BCL3,ZFP36,xxxxxx,xxxxxx
20,,exp,coexpression,0,,ANGPT1,CFD,xxxxxx,xxxxxx
21,,exp,coexpression,0,,ADAM33,FBLN1,xxxxxx,xxxxxx
22,,exp,coexpression,0,,ELN,LUM,xxxxxx,xxxxxx
23,,exp,coexpression,0,,CD34,CD34,xxxxxx,xxxxxx
24,,exp,coexpression,0,,ICAM1,MAFF,xxxxxx,xxxxxx
25,,exp,coexpression,0,,RASD1,ZC3H12A,xxxxxx,xxxxxx
26,,exp,coexpression,0,,C7,ELN,xxxxxx,xxxxxx
