"genes"	"modules"
"1"	"PRL"	"M1"
"2"	"MT.ND4"	"Not.Correlated"
"3"	"POMC"	"M1"
"4"	"GH1"	"M1"
"5"	"MT.CO1"	"M1"
"6"	"GNAS"	"M1"
"7"	"MT.ND1"	"Not.Correlated"
"8"	"CHGB"	"M1"
"9"	"CGA"	"M1"
"10"	"MT.ATP8"	"Not.Correlated"
"11"	"BAIAP3"	"M1"
"12"	"MT.ND4L"	"Not.Correlated"
"13"	"HSP90AA1"	"Not.Correlated"
"14"	"NNAT"	"M1"
"15"	"PLD3"	"M1"
"16"	"PCSK1N"	"M1"
"17"	"DLK1"	"M1"
"18"	"A2M"	"M2"
"19"	"SAT1"	"M3"
"20"	"NR4A1"	"Not.Correlated"
"21"	"PEG10"	"M1"
"22"	"SCG2"	"M1"
"23"	"MAT2A"	"M3"
"24"	"IGSF1"	"M1"
"25"	"LHB"	"M1"
"26"	"MT.ND6"	"Not.Correlated"
"27"	"MGP"	"Not.Correlated"
"28"	"CSHL1"	"M1"
"29"	"TGM2"	"Not.Correlated"
"30"	"CHGA"	"M1"
"31"	"VIM"	"M2"
"32"	"HSPA1B"	"Not.Correlated"
"33"	"TXNIP"	"Not.Correlated"
"34"	"SPARCL1"	"M2"
"35"	"HSPA1A"	"Not.Correlated"
"36"	"EGR1"	"Not.Correlated"
"37"	"TIMP3"	"M2"
"38"	"CLU"	"M2"
"39"	"PILRB"	"M1"
"40"	"FOS"	"Not.Correlated"
"41"	"SCG5"	"M1"
"42"	"ZFAND5"	"Not.Correlated"
"43"	"CD74"	"M2"
"44"	"DUSP1"	"Not.Correlated"
"45"	"JUNB"	"Not.Correlated"
"46"	"FASN"	"M1"
"47"	"FLNA"	"M2"
"48"	"ALDH1A1"	"M1"
"49"	"PTPRN"	"M1"
"50"	"COL22A1"	"M1"
"51"	"BTG2"	"Not.Correlated"
"52"	"GLUL"	"M2"
"53"	"PER1"	"Not.Correlated"
"54"	"COL1A1"	"Not.Correlated"
"55"	"RASD1"	"M1"
"56"	"CACNA1H"	"M1"
"57"	"EEF1A2"	"M1"
"58"	"ARHGAP36"	"M1"
"59"	"COL6A2"	"Not.Correlated"
"60"	"ELAPOR1"	"M1"
"61"	"MYO15A"	"M1"
"62"	"CHD5"	"M1"
"63"	"IGFBP4"	"M3"
"64"	"GAL"	"M1"
"65"	"DCN"	"M2"
"66"	"KRT8"	"M1"
"67"	"PSD"	"M1"
"68"	"GH2"	"M1"
"69"	"CERCAM"	"M1"
"70"	"RGS5"	"M2"
"71"	"BHLHE40"	"M3"
"72"	"UNC13A"	"M1"
"73"	"ABCA7"	"M1"
"74"	"GHRHR"	"M1"
"75"	"APLP1"	"M1"
"76"	"PITX1"	"M1"
"77"	"NPTX2"	"Not.Correlated"
"78"	"ERRFI1"	"Not.Correlated"
"79"	"HBB"	"Not.Correlated"
"80"	"YBX3"	"M3"
"81"	"ZFP36"	"M3"
"82"	"NDRG4"	"M1"
"83"	"PLAGL1"	"M1"
"84"	"LTBP4"	"M2"
"85"	"PTP4A3"	"M1"
"86"	"AHNAK"	"M2"
"87"	"BGN"	"M2"
"88"	"RGS2"	"Not.Correlated"
"89"	"FXYD6"	"M1"
"90"	"IFITM3"	"M3"
"91"	"PRUNE2"	"M1"
"92"	"CELF3"	"M1"
"93"	"TIMP1"	"M3"
"94"	"NSG1"	"M1"
"95"	"SEZ6L2"	"M1"
"96"	"JUN"	"Not.Correlated"
"97"	"MIDN"	"M3"
"98"	"PEG3"	"M1"
"99"	"RBP4"	"M2"
"100"	"MDK"	"Not.Correlated"
"101"	"ALPK3"	"M1"
"102"	"TMEM130"	"M1"
"103"	"RIMBP2"	"M1"
"104"	"HSPH1"	"Not.Correlated"
"105"	"CEL"	"M1"
"106"	"DDIT4"	"Not.Correlated"
"107"	"PTN"	"M1"
"108"	"RUNDC3A"	"M1"
"109"	"UNC80"	"M1"
"110"	"DNAJB1"	"Not.Correlated"
"111"	"CAMK2B"	"M1"
"112"	"CALY"	"M1"
"113"	"KRT18"	"M1"
"114"	"SLC4A8"	"M1"
"115"	"SNAP25"	"M1"
"116"	"SERPING1"	"M2"
"117"	"AEBP1"	"M2"
"118"	"F3"	"M2"
"119"	"TSPAN13"	"M1"
"120"	"EPAS1"	"M2"
"121"	"CEBPD"	"M3"
"122"	"OBSCN"	"M1"
"123"	"ABCC8"	"M1"
"124"	"HSPB1"	"Not.Correlated"
"125"	"IFI6"	"M2"
"126"	"DIO2"	"Not.Correlated"
"127"	"TAGLN"	"M2"
"128"	"ANXA1"	"M3"
"129"	"REC8"	"M1"
"130"	"COL1A2"	"M2"
"131"	"STAB1"	"M2"
"132"	"TSC22D3"	"Not.Correlated"
"133"	"IGFBP3"	"Not.Correlated"
"134"	"NDRG2"	"M2"
"135"	"LDHA"	"M3"
"136"	"LDOC1"	"Not.Correlated"
"137"	"FOSL2"	"M3"
"138"	"CPLX2"	"M1"
"139"	"PYGB"	"Not.Correlated"
"140"	"JPH4"	"M1"
"141"	"ZFP36L1"	"M2"
"142"	"KIAA0513"	"M1"
"143"	"TSHB"	"M1"
"144"	"CMIP"	"M1"
"145"	"TMEM63C"	"M1"
"146"	"ZNF331"	"Not.Correlated"
"147"	"GADD45B"	"M3"
"148"	"BICDL1"	"M1"
"149"	"FN1"	"M2"
"150"	"FKBP5"	"Not.Correlated"
"151"	"CELSR3"	"M1"
"152"	"HBA2"	"Not.Correlated"
"153"	"ZNF10"	"M1"
"154"	"ODC1"	"Not.Correlated"
"155"	"APOD"	"M2"
"156"	"JAG2"	"M1"
"157"	"KNDC1"	"M1"
