,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
0,,exp,coexpression,0,,NAMPT,NAMPT,xxxxxx,xxxxxx
1,,exp,coexpression,0,,COL1A2,COL1A2,xxxxxx,xxxxxx
2,,exp,coexpression,0,,C1QB,C1QB,xxxxxx,xxxxxx
3,,exp,coexpression,0,,CLDN5,CLDN5,xxxxxx,xxxxxx
4,,exp,coexpression,0,,C1QA,C1QB,xxxxxx,xxxxxx
5,,exp,coexpression,0,,C1QC,C1QC,xxxxxx,xxxxxx
6,,exp,coexpression,0,,C1QB,CD68,xxxxxx,xxxxxx
7,,exp,coexpression,0,,C1QA,CD68,xxxxxx,xxxxxx
8,,exp,coexpression,0,,SLC2A3,SLC2A3,xxxxxx,xxxxxx
9,,exp,coexpression,0,,C1QB,CD163,xxxxxx,xxxxxx
10,,exp,coexpression,0,,CD163,CD68,xxxxxx,xxxxxx
11,,exp,coexpression,0,,C1QA,MS4A6A,xxxxxx,xxxxxx
12,,exp,coexpression,0,,C1QB,C1QC,xxxxxx,xxxxxx
13,,exp,coexpression,0,,LYVE1,LYVE1,xxxxxx,xxxxxx
14,,exp,coexpression,0,,MAFF,MAFF,xxxxxx,xxxxxx
15,,exp,coexpression,0,,CRISPLD2,CRISPLD2,xxxxxx,xxxxxx
16,,exp,coexpression,0,,SLC11A1,SLC11A1,xxxxxx,xxxxxx
17,,exp,coexpression,0,,NNMT,NNMT,xxxxxx,xxxxxx
18,,exp,coexpression,0,,C1QC,CD163,xxxxxx,xxxxxx
19,,exp,coexpression,0,,CEBPD,CEBPD,xxxxxx,xxxxxx
20,,exp,coexpression,0,,CD68,CD68,xxxxxx,xxxxxx
21,,exp,coexpression,0,,SCD,SCD,xxxxxx,xxxxxx
22,,exp,coexpression,0,,HSPB6,HSPB6,xxxxxx,xxxxxx
23,,exp,coexpression,0,,C1QA,CSF1R,xxxxxx,xxxxxx
24,,exp,coexpression,0,,APOE,APOE,xxxxxx,xxxxxx
25,,exp,coexpression,0,,FBLN1,FBLN1,xxxxxx,xxxxxx
26,,exp,coexpression,0,,COL1A2,COL3A1,xxxxxx,xxxxxx
27,,exp,coexpression,0,,CXCL12,CXCL12,xxxxxx,xxxxxx
28,,exp,coexpression,0,,DEPP1,DEPP1,xxxxxx,xxxxxx
29,,exp,coexpression,0,,C1QB,CSF1R,xxxxxx,xxxxxx
30,,exp,coexpression,0,,C1QB,MS4A6A,xxxxxx,xxxxxx
31,,exp,coexpression,0,,DDIT4,DDIT4,xxxxxx,xxxxxx
32,,exp,coexpression,0,,PTGDS,PTGDS,xxxxxx,xxxxxx
33,,exp,coexpression,0,,PRELP,PRELP,xxxxxx,xxxxxx
34,,exp,coexpression,0,,MYH11,MYH11,xxxxxx,xxxxxx
35,,exp,coexpression,0,,COL3A1,COL3A1,xxxxxx,xxxxxx
36,,exp,coexpression,0,,ZFP36,ZFP36,xxxxxx,xxxxxx
37,,exp,coexpression,0,,ADH1B,ADH1B,xxxxxx,xxxxxx
38,,exp,coexpression,0,,SERPINA3,SERPINA3,xxxxxx,xxxxxx
39,,exp,coexpression,0,,CCN2,CCN2,xxxxxx,xxxxxx
40,,exp,coexpression,0,,C1QC,MS4A6A,xxxxxx,xxxxxx
41,,exp,coexpression,0,,CSF1R,CSF1R,xxxxxx,xxxxxx
42,,exp,coexpression,0,,MS4A6A,MS4A6A,xxxxxx,xxxxxx
43,,exp,coexpression,0,,GADD45B,GADD45B,xxxxxx,xxxxxx
44,,exp,coexpression,0,,C1QA,C1QC,xxxxxx,xxxxxx
45,,exp,coexpression,0,,C1QC,CSF1R,xxxxxx,xxxxxx
46,,exp,coexpression,0,,C1QA,C1QA,xxxxxx,xxxxxx
47,,exp,coexpression,0,,ADAMTS4,ADAMTS4,xxxxxx,xxxxxx
48,,exp,coexpression,0,,ACTA2,ACTA2,xxxxxx,xxxxxx
49,,exp,coexpression,0,,C11orf96,C11orf96,xxxxxx,xxxxxx
50,,exp,coexpression,0,,CD14,CD14,xxxxxx,xxxxxx
51,,exp,coexpression,0,,BHLHE40,BHLHE40,xxxxxx,xxxxxx
52,,exp,coexpression,0,,C7,C7,xxxxxx,xxxxxx
53,,exp,coexpression,0,,RGS1,RGS1,xxxxxx,xxxxxx
54,,exp,coexpression,0,,CD163,CD163,xxxxxx,xxxxxx
55,,exp,coexpression,0,,THBS1,THBS1,xxxxxx,xxxxxx
56,,exp,coexpression,0,,TSC22D3,TSC22D3,xxxxxx,xxxxxx
57,,exp,coexpression,0,,ADM,ADM,xxxxxx,xxxxxx
58,,exp,coexpression,0,,SOCS3,SOCS3,xxxxxx,xxxxxx
59,,exp,coexpression,0,,S100A9,S100A9,xxxxxx,xxxxxx
60,,exp,coexpression,0,,C1QA,CD163,xxxxxx,xxxxxx
61,,exp,coexpression,0,,BGN,BGN,xxxxxx,xxxxxx
62,,exp,coexpression,0,,C1QC,CD68,xxxxxx,xxxxxx
63,,exp,coexpression,0,,CCDC80,CCDC80,xxxxxx,xxxxxx
64,,exp,coexpression,0,,DCN,DCN,xxxxxx,xxxxxx
