,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
0,,exp,coexpression,0,,ADH1B,MAOA,xxxxxx,xxxxxx
1,,exp,coexpression,0,,HMCN1,HMCN1,xxxxxx,xxxxxx
2,,exp,coexpression,0,,BCL3,SPRY1,xxxxxx,xxxxxx
3,,exp,coexpression,0,,LDLR,PIM1,xxxxxx,xxxxxx
4,,exp,coexpression,0,,ANGPTL4,ANGPTL4,xxxxxx,xxxxxx
5,,exp,coexpression,0,,ADAMTS4,AKAP12,xxxxxx,xxxxxx
6,,exp,coexpression,0,,BHLHE40,JUNB,xxxxxx,xxxxxx
7,,exp,coexpression,0,,GADD45B,STC1,xxxxxx,xxxxxx
8,,exp,coexpression,0,,PFKFB3,THBS1,xxxxxx,xxxxxx
9,,exp,coexpression,0,,PLIN5,PTGDS,xxxxxx,xxxxxx
10,,exp,coexpression,0,,F13A1,FCGR3A,xxxxxx,xxxxxx
11,,exp,coexpression,0,,C1QC,LCP1,xxxxxx,xxxxxx
12,,exp,coexpression,0,,CD163,MRC1,xxxxxx,xxxxxx
13,,exp,coexpression,0,,BCL3,ZFP36,xxxxxx,xxxxxx
14,,exp,coexpression,0,,ANGPT1,CFD,xxxxxx,xxxxxx
15,,exp,coexpression,0,,ICAM1,MAFF,xxxxxx,xxxxxx
16,,exp,coexpression,0,,NR4A1,SLC2A3,xxxxxx,xxxxxx
17,,exp,coexpression,0,,MAFF,RUNX1,xxxxxx,xxxxxx
18,,exp,coexpression,0,,C1QC,CD14,xxxxxx,xxxxxx
19,,exp,coexpression,0,,F13A1,STAB1,xxxxxx,xxxxxx
20,,exp,coexpression,0,,SERPINE2,VMP1,xxxxxx,xxxxxx
21,,exp,coexpression,0,,COL14A1,FBLN2,xxxxxx,xxxxxx
22,,exp,coexpression,0,,CPXM2,FRZB,xxxxxx,xxxxxx
23,,exp,coexpression,0,,FGF7,THBS1,xxxxxx,xxxxxx
24,,exp,coexpression,0,,BGN,SLIT3,xxxxxx,xxxxxx
25,,exp,coexpression,0,,BAG3,BAG3,xxxxxx,xxxxxx
26,,exp,coexpression,0,,PHGDH,PHGDH,xxxxxx,xxxxxx
27,,exp,coexpression,0,,CCL2,MAFF,xxxxxx,xxxxxx
28,,exp,coexpression,0,,TMEM176B,TMEM176B,xxxxxx,xxxxxx
29,,exp,coexpression,0,,MAFB,MAFB,xxxxxx,xxxxxx
30,,exp,coexpression,0,,CFD,S100A4,xxxxxx,xxxxxx
31,,exp,coexpression,0,,COL3A1,FBLN2,xxxxxx,xxxxxx
32,,exp,coexpression,0,,NR4A3,VMP1,xxxxxx,xxxxxx
33,,exp,coexpression,0,,SERPINA5,SERPINA5,xxxxxx,xxxxxx
34,,exp,coexpression,0,,LYVE1,MRC1,xxxxxx,xxxxxx
35,,exp,coexpression,0,,ZBTB16,ZBTB16,xxxxxx,xxxxxx
36,,exp,coexpression,0,,F13A1,LAPTM5,xxxxxx,xxxxxx
37,,exp,coexpression,0,,COL1A2,ECM2,xxxxxx,xxxxxx
38,,exp,coexpression,0,,CSF1R,RGS1,xxxxxx,xxxxxx
39,,exp,coexpression,0,,SOCS3,ZFP36,xxxxxx,xxxxxx
40,,exp,coexpression,0,,IGFBP3,IGFBP3,xxxxxx,xxxxxx
41,,exp,coexpression,0,,MMP2,PRELP,xxxxxx,xxxxxx
42,,exp,coexpression,0,,ITGB2,LCP1,xxxxxx,xxxxxx
43,,exp,coexpression,0,,FGL2,FGL2,xxxxxx,xxxxxx
44,,exp,coexpression,0,,ADAMTS9,VCAN,xxxxxx,xxxxxx
45,,exp,coexpression,0,,STC1,STC1,xxxxxx,xxxxxx
46,,exp,coexpression,0,,FLRT2,LUM,xxxxxx,xxxxxx
47,,exp,coexpression,0,,CSF1R,RNASE1,xxxxxx,xxxxxx
48,,exp,coexpression,0,,BTNL9,EDNRB,xxxxxx,xxxxxx
49,,exp,coexpression,0,,LDLR,MAFF,xxxxxx,xxxxxx
50,,exp,coexpression,0,,AOC3,TAGLN,xxxxxx,xxxxxx
51,,exp,coexpression,0,,C11orf96,JUNB,xxxxxx,xxxxxx
52,,exp,coexpression,0,,MS4A7,MS4A7,xxxxxx,xxxxxx
53,,exp,coexpression,0,,C1QC,LAPTM5,xxxxxx,xxxxxx
54,,exp,coexpression,0,,COL1A2,SFRP2,xxxxxx,xxxxxx
55,,exp,coexpression,0,,RASD1,RASD1,xxxxxx,xxxxxx
56,,exp,coexpression,0,,BGN,TIMP3,xxxxxx,xxxxxx
57,,exp,coexpression,0,,COL1A2,COL5A1,xxxxxx,xxxxxx
58,,exp,coexpression,0,,BHLHE40,SLC2A3,xxxxxx,xxxxxx
59,,exp,coexpression,0,,ABCA8,ABCA8,xxxxxx,xxxxxx
60,,exp,coexpression,0,,PFKFB3,PFKFB3,xxxxxx,xxxxxx
61,,exp,coexpression,0,,ADM,BCL3,xxxxxx,xxxxxx
62,,exp,coexpression,0,,TLR2,TLR2,xxxxxx,xxxxxx
63,,exp,coexpression,0,,MT2A,MT2A,xxxxxx,xxxxxx
64,,exp,coexpression,0,,COL1A2,ISLR,xxxxxx,xxxxxx
65,,exp,coexpression,0,,OBSCN,OBSCN,xxxxxx,xxxxxx
66,,exp,coexpression,0,,FCGR2A,MRC1,xxxxxx,xxxxxx
67,,exp,coexpression,0,,COL3A1,COL6A3,xxxxxx,xxxxxx
68,,exp,coexpression,0,,COL14A1,GPNMB,xxxxxx,xxxxxx
69,,exp,coexpression,0,,ATF3,C11orf96,xxxxxx,xxxxxx
70,,exp,coexpression,0,,FN1,FN1,xxxxxx,xxxxxx
71,,exp,coexpression,0,,GBP2,GBP2,xxxxxx,xxxxxx
72,,exp,coexpression,0,,LUM,MATN2,xxxxxx,xxxxxx
73,,exp,coexpression,0,,CCDC80,COL14A1,xxxxxx,xxxxxx
74,,exp,coexpression,0,,ENO2,ENO2,xxxxxx,xxxxxx
75,,exp,coexpression,0,,FOS,ZFP36,xxxxxx,xxxxxx
76,,exp,coexpression,0,,JUN,JUN,xxxxxx,xxxxxx
77,,exp,coexpression,0,,FBLN1,LUM,xxxxxx,xxxxxx
78,,exp,coexpression,0,,CCL2,DUSP5,xxxxxx,xxxxxx
79,,exp,coexpression,0,,C7,DCN,xxxxxx,xxxxxx
80,,exp,coexpression,0,,LDLR,THBS1,xxxxxx,xxxxxx
81,,exp,coexpression,0,,ADAMTS4,SPRY1,xxxxxx,xxxxxx
82,,exp,coexpression,0,,LYVE1,VSIG4,xxxxxx,xxxxxx
83,,exp,coexpression,0,,RUNX1,ZC3H12A,xxxxxx,xxxxxx
84,,exp,coexpression,0,,DHCR24,MAOA,xxxxxx,xxxxxx
85,,exp,coexpression,0,,C1QB,RGS1,xxxxxx,xxxxxx
86,,exp,coexpression,0,,COL1A1,THY1,xxxxxx,xxxxxx
87,,exp,coexpression,0,,C11orf96,CDKN1A,xxxxxx,xxxxxx
88,,exp,coexpression,0,,ACADL,ACADL,xxxxxx,xxxxxx
