"genes"	"modules"
"1"	"DCN"	"M1"
"2"	"GPX3"	"M2"
"3"	"ADH1B"	"M2"
"4"	"GLUL"	"M2"
"5"	"MGP"	"M1"
"6"	"FABP4"	"M1"
"7"	"APOD"	"M1"
"8"	"FASN"	"M2"
"9"	"IGFBP5"	"M1"
"10"	"CD36"	"M1"
"11"	"MT.ND6"	"M2"
"12"	"PNPLA2"	"M2"
"13"	"PDK4"	"M2"
"14"	"COL1A2"	"M2"
"15"	"DEPP1"	"M4"
"16"	"C3"	"M1"
"17"	"VWF"	"M1"
"18"	"ACTA2"	"M2"
"19"	"MMP2"	"M2"
"20"	"CFD"	"M1"
"21"	"COL4A2"	"M2"
"22"	"COL1A1"	"M2"
"23"	"PLIN4"	"M2"
"24"	"JUN"	"M2"
"25"	"DST"	"M1"
"26"	"COL3A1"	"M2"
"27"	"CSRP1"	"M1"
"28"	"ZFP36"	"M4"
"29"	"FBLN1"	"M2"
"30"	"COL4A1"	"M2"
"31"	"THBS1"	"M4"
"32"	"AQP1"	"M4"
"33"	"FHL1"	"M1"
"34"	"ACACB"	"M2"
"35"	"TSC22D3"	"M1"
"36"	"BHLHE40"	"M2"
"37"	"BTNL9"	"M1"
"38"	"CCN1"	"M2"
"39"	"PLIN2"	"M1"
"40"	"HSPB6"	"M1"
"41"	"IGFBP3"	"M2"
"42"	"ACSL1"	"M2"
"43"	"MYH11"	"M2"
"44"	"CLDN5"	"M1"
"45"	"NID1"	"M2"
"46"	"LPL"	"M2"
"47"	"AZGP1"	"M1"
"48"	"NR4A1"	"M4"
"49"	"CRYAB"	"M2"
"50"	"PRDX6"	"M2"
"51"	"FBLN2"	"M1"
"52"	"SAA1"	"M2"
"53"	"MGST1"	"M2"
"54"	"SORBS1"	"M2"
"55"	"JUND"	"M2"
"56"	"MT2A"	"M2"
"57"	"ALDH2"	"M2"
"58"	"XBP1"	"M1"
"59"	"ERRFI1"	"M1"
"60"	"SHANK3"	"M1"
"61"	"SCD"	"M2"
"62"	"PFKFB3"	"M2"
"63"	"DDIT4"	"M2"
"64"	"CXCL12"	"M2"
