"genes"	"modules"
"1"	"DES"	"M2"
"2"	"MYH7"	"M1"
"3"	"MT.ND3"	"Not.Correlated"
"4"	"ACTC1"	"M2"
"5"	"TTN"	"M2"
"6"	"MYH6"	"M3"
"7"	"MT.ND6"	"Not.Correlated"
"8"	"TNNT2"	"M2"
"9"	"MB"	"M2"
"10"	"CRYAB"	"M2"
"11"	"HSPB7"	"M2"
"12"	"CKM"	"M2"
"13"	"MYBPC3"	"M2"
"14"	"ANKRD1"	"M2"
"15"	"ATP2A2"	"M2"
"16"	"GSN"	"M1"
"17"	"TNNI3"	"M2"
"18"	"TCAP"	"M2"
"19"	"DCN"	"M1"
"20"	"ACTN2"	"M2"
"21"	"FLNC"	"M2"
"22"	"PTGDS"	"M2"
"23"	"MYL7"	"M3"
"24"	"SLC25A4"	"M2"
"25"	"ACTB"	"M2"
"26"	"TNNC1"	"M2"
"27"	"FABP3"	"M2"
"28"	"ACTA1"	"M1"
"29"	"GPX3"	"M1"
"30"	"X.171"	"M2"
"31"	"LDB3"	"M2"
"32"	"CMYA5"	"M2"
"33"	"FN1"	"M1"
"34"	"PAM"	"M3"
"35"	"EEF1A1"	"M1"
"36"	"NEBL"	"M2"
"37"	"PLN"	"M2"
"38"	"TGM2"	"Not.Correlated"
"39"	"TXNIP"	"Not.Correlated"
"40"	"NPPA"	"M1"
"41"	"RYR2"	"M2"
"42"	"MYOZ2"	"M2"
"43"	"MYL12A"	"Not.Correlated"
"44"	"CSRP3"	"M2"
"45"	"SPARC"	"M1"
"46"	"EEF1A2"	"M2"
"47"	"NRAP"	"M2"
"48"	"PDE4DIP"	"M2"
"49"	"TIMP3"	"M1"
"50"	"PPP1R12B"	"M2"
"51"	"MYOM2"	"M2"
"52"	"VIM"	"M1"
"53"	"CASQ2"	"M2"
"54"	"HSP90AA1"	"Not.Correlated"
"55"	"FHL1"	"Not.Correlated"
"56"	"MGP"	"M1"
"57"	"DKK3"	"M3"
"58"	"MYOM1"	"M2"
"59"	"CD36"	"M4"
"60"	"C7"	"M1"
"61"	"HADHB"	"M2"
"62"	"MYL3"	"M1"
"63"	"FTL"	"M2"
"64"	"HSPB6"	"M1"
"65"	"VWF"	"M4"
"66"	"XIRP1"	"M2"
"67"	"MYL2"	"M1"
"68"	"PALLD"	"M2"
"69"	"NMRK2"	"M2"
"70"	"PDK4"	"Not.Correlated"
"71"	"ENG"	"M1"
"72"	"OBSCN"	"M2"
"73"	"RGS5"	"M4"
"74"	"HRC"	"M2"
"75"	"ZNF106"	"M2"
"76"	"CKMT2"	"M2"
"77"	"HLA.B"	"M2"
"78"	"SLC4A3"	"M2"
"79"	"LTBP4"	"M1"
"80"	"TECRL"	"M2"
"81"	"COL1A2"	"M1"
"82"	"HSPA5"	"Not.Correlated"
"83"	"BGN"	"M1"
"84"	"NEXN"	"M2"
"85"	"SORBS2"	"M2"
"86"	"HSPA1A"	"Not.Correlated"
"87"	"MYZAP"	"M2"
"88"	"FHL2"	"M1"
"89"	"SRL"	"M2"
"90"	"IGFBP4"	"M2"
"91"	"OGDH"	"M2"
"92"	"S100A1"	"M2"
"93"	"HSPA1B"	"Not.Correlated"
"94"	"POPDC2"	"M2"
"95"	"COL6A3"	"M1"
"96"	"NR4A1"	"M1"
"97"	"C1R"	"M1"
"98"	"COX6A2"	"M2"
"99"	"LMOD2"	"M2"
"100"	"SYNM"	"M2"
"101"	"C3"	"M1"
"102"	"CSDC2"	"M2"
"103"	"GOT1"	"M2"
"104"	"GCOM1"	"M2"
"105"	"TAGLN"	"M1"
"106"	"MYOM3"	"M2"
"107"	"VEGFA"	"Not.Correlated"
"108"	"NDRG4"	"M1"
"109"	"ACTA2"	"M1"
"110"	"FBLN1"	"M1"
"111"	"DSP"	"M2"
"112"	"HHATL"	"M2"
"113"	"SERPING1"	"M1"
"114"	"PGAM2"	"M2"
"115"	"PDLIM3"	"M1"
"116"	"PFKM"	"M2"
"117"	"SYNPO2L"	"M2"
"118"	"SLC41A1"	"M2"
"119"	"LPL"	"M1"
"120"	"IDH2"	"M1"
"121"	"ADPRHL1"	"M2"
"122"	"COL3A1"	"M1"
"123"	"NCAM1"	"M2"
"124"	"MYH7B"	"M2"
"125"	"NNT"	"M2"
"126"	"TRDN"	"M2"
"127"	"CDH2"	"M2"
"128"	"PLIN4"	"M2"
"129"	"SAT1"	"M1"
"130"	"AQP1"	"M4"
"131"	"ATP1A2"	"M2"
"132"	"FBLN2"	"M1"
"133"	"MYL4"	"M3"
"134"	"TNXB"	"M1"
"135"	"ENO3"	"M2"
"136"	"CPT1B"	"M2"
"137"	"LMO7"	"M2"
"138"	"RBPMS2"	"M2"
"139"	"HBB"	"Not.Correlated"
"140"	"PRELP"	"M1"
"141"	"C1QTNF1"	"Not.Correlated"
"142"	"SLC8A1"	"M2"
"143"	"COL1A1"	"M1"
"144"	"CFD"	"M1"
"145"	"PCSK7"	"M1"
"146"	"DUSP1"	"M1"
"147"	"MMP2"	"M1"
"148"	"CLIC5"	"M2"
"149"	"NHERF2"	"M4"
"150"	"ADH1B"	"M1"
"151"	"CD34"	"M1"
"152"	"THBS1"	"M2"
"153"	"C1S"	"M1"
"154"	"APOD"	"M3"
"155"	"LUM"	"M1"
"156"	"COQ8A"	"M2"
"157"	"SMYD1"	"M2"
"158"	"ADAMTS1"	"M1"
"159"	"MAPKAPK3"	"M2"
"160"	"MYLK3"	"M2"
"161"	"JUN"	"M1"
"162"	"CCDC80"	"M1"
"163"	"KCNIP2"	"M2"
"164"	"GPD1L"	"M2"
"165"	"ATP1A3"	"M2"
"166"	"SMPX"	"M2"
"167"	"PKP2"	"M2"
"168"	"WNK2"	"M2"
"169"	"CFH"	"M1"
"170"	"MYH11"	"M1"
"171"	"ZFP36"	"M1"
"172"	"SCN5A"	"M2"
"173"	"TPM3"	"M1"
"174"	"BTG2"	"M1"
"175"	"ABCA8"	"M1"
"176"	"IGF2"	"Not.Correlated"
"177"	"PPM1K"	"M2"
"178"	"RCAN2"	"M2"
"179"	"AEBP1"	"M1"
"180"	"NDRG1"	"M2"
"181"	"CLU"	"M1"
"182"	"ALDOC"	"M2"
"183"	"ACSL1"	"M1"
"184"	"MYO18B"	"M2"
"185"	"SERPINF1"	"M1"
"186"	"FBN1"	"M1"
"187"	"NAMPT"	"Not.Correlated"
"188"	"ZFP36L1"	"M1"
"189"	"TPM4"	"M2"
"190"	"EMP1"	"M1"
"191"	"ACAT1"	"M2"
"192"	"ITGA5"	"M2"
"193"	"DIRAS1"	"M2"
"194"	"DNAJA4"	"Not.Correlated"
"195"	"CYBRD1"	"M1"
"196"	"TIMP1"	"M1"
"197"	"MLIP"	"M2"
"198"	"JUNB"	"M1"
"199"	"RRAD"	"Not.Correlated"
"200"	"SH3RF2"	"M2"
"201"	"IGFBP3"	"M1"
"202"	"FOSL2"	"M1"
"203"	"FHOD3"	"M2"
"204"	"LAD1"	"M2"
"205"	"CCN1"	"M1"
"206"	"JPH2"	"M2"
"207"	"TSC22D3"	"M1"
"208"	"HBA2"	"Not.Correlated"
"209"	"FBXO40"	"M2"
"210"	"ELN"	"M1"
"211"	"PPP1R3C"	"Not.Correlated"
"212"	"HTRA3"	"M1"
"213"	"TRIM54"	"M2"
"214"	"FBXO32"	"M2"
"215"	"PLA2G2A"	"M1"
"216"	"FKBP5"	"Not.Correlated"
"217"	"NKX2.5"	"M2"
"218"	"FBLN5"	"M1"
"219"	"RBM24"	"M2"
"220"	"TM4SF1"	"M2"
"221"	"UNC45B"	"M2"
"222"	"TRIM63"	"M2"
"223"	"ACAA2"	"M2"
"224"	"FOS"	"M1"
"225"	"XIRP2"	"M2"
"226"	"CCNL1"	"M2"
"227"	"FGF12"	"M2"
"228"	"PPP1R15A"	"Not.Correlated"
"229"	"CSRP1"	"M1"
"230"	"HADH"	"M2"
"231"	"OXCT1"	"M2"
"232"	"ALPK2"	"M2"
"233"	"FLT1"	"M4"
"234"	"ANXA1"	"M2"
"235"	"COL15A1"	"M1"
"236"	"BHLHE40"	"M1"
"237"	"MYPN"	"M2"
"238"	"FAM107A"	"M4"
"239"	"CCN2"	"M1"
"240"	"EGR1"	"M1"
"241"	"CDKN1A"	"Not.Correlated"
"242"	"TXNRD1"	"Not.Correlated"
"243"	"KLHL31"	"M2"
"244"	"FITM2"	"M2"
"245"	"AKAP6"	"M2"
"246"	"TENM2"	"M2"
"247"	"PRKAA2"	"M2"
"248"	"RBM20"	"M2"
"249"	"PDE1C"	"M2"
"250"	"MRC2"	"M1"
"251"	"PRKAG2"	"M3"
"252"	"HSPB3"	"M2"
"253"	"EGLN3"	"Not.Correlated"
"254"	"SLC38A1"	"M2"
"255"	"CNN1"	"Not.Correlated"
"256"	"SLC2A4"	"M2"
"257"	"LTBP2"	"M1"
"258"	"EFEMP1"	"M1"
"259"	"APOLD1"	"Not.Correlated"
"260"	"DPT"	"M1"
"261"	"ACSS1"	"M1"
"262"	"MFAP4"	"M1"
"263"	"HIF3A"	"Not.Correlated"
"264"	"HBA1"	"Not.Correlated"
"265"	"DEPP1"	"M1"
"266"	"SLC5A1"	"M2"
"267"	"GADD45B"	"M1"
"268"	"PERM1"	"M2"
"269"	"STEAP4"	"Not.Correlated"
"270"	"USP13"	"M2"
"271"	"SERPINH1"	"M2"
"272"	"VCAN"	"M1"
"273"	"FMO2"	"M1"
"274"	"PLIN2"	"Not.Correlated"
"275"	"BTNL9"	"M4"
"276"	"MYH14"	"M2"
"277"	"SAMHD1"	"M1"
"278"	"PCOLCE2"	"M1"
"279"	"AKAP12"	"M1"
"280"	"ITPRIP"	"M1"
"281"	"CD9"	"M1"
"282"	"HLA.DRB1"	"M2"
"283"	"DLAT"	"M2"
"284"	"NPPB"	"M1"
"285"	"LMOD3"	"M2"
"286"	"KCNH2"	"M2"
"287"	"PLCXD3"	"M2"
"288"	"SGCD"	"M2"
"289"	"NAV1"	"M1"
"290"	"DPYSL3"	"M1"
"291"	"MAOA"	"M2"
"292"	"PXDNL"	"M2"
"293"	"ABCA9"	"M1"
"294"	"CDH19"	"M1"
"295"	"CEBPD"	"M1"
"296"	"MLF1"	"M2"
"297"	"KLHL41"	"M2"
"298"	"PKIA"	"M2"
